                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7079,                 3.8995,                 4.4349,                0.00445,                0.64835,                0.02845,                0.01045,                 2.5585,                 3.5777,                 4.1588,                0.00012,                0.00012,                0.00012
                      2,                 2.7553,                 3.7515,                  4.326,                0.00461,                0.65934,                0.03267,                0.01008,                 2.5585,                 3.5708,                 4.1578,             0.00023426,             0.00023426,             0.00023426
                      3,                 2.7365,                 3.6318,                  4.222,                 0.0045,                0.65934,                0.06726,                0.01766,                 2.5604,                 3.5604,                 4.1562,              0.0003208,              0.0003208,              0.0003208
                      4,                 2.5592,                 3.6016,                 4.2305,                0.00451,                0.65385,                0.06279,                0.01688,                 2.5623,                 3.5501,                 4.1554,             0.00037962,             0.00037962,             0.00037962
                      5,                 2.7131,                 3.6045,                 4.1196,                0.00449,                0.65934,                0.05824,                0.01577,                 2.5686,                 3.5368,                 4.1554,             0.00041072,             0.00041072,             0.00041072
                      6,                 2.7596,                  3.546,                 4.0904,                0.00444,                0.65934,                0.06504,                0.01758,                 2.5756,                 3.5267,                 4.1591,              0.0004141,              0.0004141,              0.0004141
                      7,                 2.5766,                 3.4823,                 3.9619,                 0.0044,                0.66484,                0.07925,                0.02136,                 2.5894,                 3.5132,                 4.1785,             0.00038976,             0.00038976,             0.00038976
                      8,                 2.6114,                 3.3468,                 3.8963,                0.00444,                0.66484,                0.10512,                0.02848,                  2.597,                 3.5067,                 4.1879,              0.0003377,              0.0003377,              0.0003377
                      9,                 2.5334,                 3.4065,                 3.8276,                0.00438,                0.65934,                0.07797,                 0.0263,                 2.6109,                 3.4778,                 4.1833,             0.00025792,             0.00025792,             0.00025792
                     10,                 2.5661,                 3.3708,                 3.8559,                0.00434,                0.65385,                0.06606,                0.02157,                 2.6128,                  3.463,                 4.1805,             0.00015042,             0.00015042,             0.00015042
